team,played,points,goals_for,goals_against,goal_diff,points_per_game,goals_for_per_game,goals_against_per_game,goal_diff_per_game,raw_strength,opponent_attack_per_game,opponent_goals_allowed_per_game,schedule_strength,adjusted_attack,adjusted_defense,team_strength,field_goal_rate
France,4,12.350,13.000,2.000,11.000,3.088,3.250,0.500,2.750,2.308,1.771,2.688,-0.638,1.674,0.727,1.426,1.460
Germany,4,7.000,11.000,5.000,6.000,1.750,2.750,1.250,1.500,1.019,0.708,1.562,-0.594,2.237,2.242,0.015,1.460
Ghana,4,4.000,2.000,3.000,-1.000,1.000,0.500,0.750,-0.250,-0.281,1.188,1.021,0.249,0.939,1.084,-0.202,1.460
Haiti,3,0.000,2.000,8.000,-6.000,0.000,0.667,2.667,-2.000,-1.694,1.444,0.944,0.533,1.160,2.325,-1.510,1.460
Iran,3,3.000,3.000,3.000,0.000,1.000,1.000,1.000,0.000,-0.144,1.694,1.778,-0.038,1.013,1.041,-0.148,1.460
Iraq,3,0.000,1.000,12.000,-11.000,0.000,0.333,4.000,-3.667,-2.610,2.750,1.583,0.974,0.653,1.925,-1.519,1.460
Ivory Coast,4,6.000,5.000,4.000,1.000,1.500,1.250,1.000,0.250,0.219,1.521,1.812,-0.144,1.143,1.110,0.064,1.460
Japan,4,5.000,8.000,5.000,3.000,1.250,2.000,1.250,0.750,0.381,1.854,2.062,-0.080,1.429,1.127,0.260,1.460
Jordan,3,0.000,3.000,8.000,-5.000,0.000,1.000,2.667,-1.667,-1.510,1.833,1.750,0.215,1.022,1.925,-1.317,1.460
Mexico,4,12.350,8.000,0.000,8.000,3.088,2.000,0.000,2.000,1.896,0.583,1.250,-0.585,2.074,0.438,2.126,1.460
Morocco,4,8.350,7.000,4.000,3.000,2.088,1.750,1.000,0.750,0.758,1.500,1.438,0.069,1.682,1.120,0.847,1.460
Netherlands,4,8.000,11.000,5.000,6.000,2.000,2.750,1.250,1.500,1.131,1.542,2.188,-0.461,1.723,1.267,0.593,1.460
New Zealand,3,1.000,4.000,10.000,-6.000,0.333,1.333,3.333,-2.000,-1.544,1.583,1.000,0.428,1.801,2.590,-1.040,1.460
Norway,4,9.350,10.000,8.000,2.000,2.338,2.500,2.000,0.500,0.733,1.833,1.938,-0.050,1.757,1.553,0.549,1.460
Panama,3,0.000,0.000,4.000,-4.000,0.000,0.000,1.333,-1.333,-1.327,1.333,1.083,0.307,0.438,1.460,-1.416,1.460
Paraguay,4,5.350,3.000,5.000,-2.000,1.338,0.750,1.250,-0.500,-0.267,1.750,1.167,0.440,1.095,1.168,0.030,1.460
Portugal,4,8.350,8.000,2.000,6.000,2.088,2.000,0.500,1.500,1.171,1.167,1.729,-0.331,1.620,0.876,0.940,1.460
Qatar,3,1.000,2.000,10.000,-8.000,0.333,0.667,3.333,-2.667,-1.910,1.917,1.167,0.633,1.022,2.216,-1.399,1.460
Saudi Arabia,3,2.000,1.000,5.000,-4.000,0.667,0.333,1.667,-1.333,-1.027,1.333,0.861,0.267,0.834,1.716,-1.052,1.460
Scotland,3,3.000,1.000,4.000,-3.000,1.000,0.333,1.333,-1.000,-0.694,1.556,1.389,0.199,0.683,1.314,-0.699,1.460
Senegal,4,3.000,10.000,9.000,1.000,0.750,2.500,2.250,0.250,-0.119,2.083,1.875,0.366,1.801,1.542,0.140,1.460
South Africa,4,4.000,2.000,4.000,-2.000,1.000,0.500,1.000,-0.500,-0.419,1.396,0.938,0.363,0.983,1.170,-0.219,1.460
South Korea,3,3.000,2.000,3.000,-1.000,1.000,0.667,1.000,-0.333,-0.327,1.056,1.000,0.100,1.120,1.406,-0.377,1.460
Spain,4,10.350,8.000,0.000,8.000,2.588,2.000,0.000,2.000,1.671,0.958,1.625,-0.613,1.696,0.438,1.567,1.460
Sweden,4,4.000,7.000,10.000,-3.000,1.000,1.750,2.500,-0.750,-0.556,2.167,1.750,0.349,1.460,1.617,-0.192,1.460
Switzerland,4,10.350,9.000,3.000,6.000,2.588,2.250,0.750,1.500,1.396,1.354,2.083,-0.525,1.542,1.004,0.866,1.460
Tunisia,3,0.000,2.000,12.000,-10.000,0.000,0.667,4.000,-3.333,-2.427,2.167,1.667,0.319,0.847,2.325,-1.870,1.460
Turkey,3,3.000,3.000,5.000,-2.000,1.000,1.000,1.667,-0.667,-0.510,1.333,1.000,0.328,1.460,1.716,-0.295,1.460
United States,4,9.350,10.000,4.000,6.000,2.338,2.500,1.000,1.500,1.283,0.938,1.417,-0.341,2.242,1.528,0.995,1.460
Uruguay,3,2.000,3.000,4.000,-1.000,0.667,1.000,1.333,-0.333,-0.477,1.111,0.972,0.083,1.489,1.665,-0.385,1.460
Uzbekistan,3,0.000,2.000,11.000,-9.000,0.000,0.667,3.667,-3.000,-2.244,1.500,0.667,0.716,1.460,2.937,-1.781,1.460
